time,temperature,pressure,humidity,moisture
23:20:25,2280,9900,4467,0
23:20:30,2280,9901,4630,0
23:20:35,2280,9900,4465,0
23:20:40,2279,9900,4337,0
23:20:45,2280,9900,4469,0
23:20:50,2279,9900,4538,0
23:20:55,2279,9900,4316,0
23:21:00,2278,9900,4347,0
23:21:05,2279,9900,4550,0
23:21:10,2279,9900,4449,0
23:21:24,2278,9900,4557,0
23:21:29,2278,9900,4373,0
23:21:34,2278,9900,4332,0
23:21:39,2278,9900,4506,0
23:21:44,2278,9900,4509,0
23:21:49,2278,9900,4454,0
23:21:54,2278,9900,4523,0
23:21:59,2277,9900,4526,0
23:22:04,2277,9900,4549,0
23:22:09,2277,9899,4533,0
23:22:24,2276,9900,4533,0
23:22:29,2277,9900,4476,0
23:22:34,2277,9899,4608,0
23:22:39,2277,9900,4764,0
23:22:44,2276,9900,4600,0
23:22:49,2276,9900,4566,0
23:22:54,2277,9900,4514,0
23:22:59,2276,9900,4551,0
23:23:04,2276,9900,4425,0
23:23:09,2275,9900,4572,0
23:23:24,2276,9900,4606,0
23:23:29,2276,9900,4438,0
23:23:34,2275,9900,4429,0
23:23:39,2275,9899,4520,0
23:23:44,2275,9900,4569,0
23:23:49,2275,9900,4528,0
23:23:54,2275,9900,4494,0
23:23:59,2275,9900,4608,0
23:24:04,2275,9900,4437,0
23:24:09,2276,9900,4533,0
23:24:23,2275,9900,4490,0
23:24:28,2274,9900,4393,0
23:24:33,2275,9900,4444,0
23:24:38,2275,9900,4385,0
23:24:43,2275,9899,4541,0
23:24:48,2275,9900,4554,0
23:24:53,2275,9900,4381,0
23:24:58,2276,9900,4352,0
23:25:03,2275,9899,4393,0
23:25:08,2275,9900,4413,0
23:25:23,2274,9900,4486,0
23:25:28,2274,9899,4607,0
23:25:33,2274,9900,4624,0
23:25:38,2274,9900,4586,0
23:25:43,2274,9899,4526,0
23:25:48,2273,9899,4400,0
23:25:53,2273,9900,4408,0
23:25:58,2274,9899,4497,0
23:26:03,2273,9899,4496,0
23:26:08,2274,9900,4483,0
23:26:23,2272,9900,4469,0
23:26:28,2272,9899,4544,0
23:26:33,2274,9900,4526,0
23:26:38,2274,9900,4357,0
23:26:43,2272,9900,4519,0
23:26:48,2273,9899,4506,0
23:26:53,2274,9900,4313,0
23:26:58,2274,9900,4347,0
23:27:03,2273,9899,4525,0
23:27:08,2274,9900,4439,0
